game_name	relise_year	func_name
Time Tenshi (2015)	2015	_RenPy
Sunny Shine Funland!	2020	_RenPy
Rainbow Dreams	2020	_RenPy
Would you like to run an idol café? 2	2021	_RenPy
Animal Cafe	2021	_RenPy
Winter Wonderland	2021	_RenPy
The Knight of the Crimson Tower	2019	_RenPy
Death Becomes You	2021	_RenPy
Love all you have left	2017	_RenPy
Anamnesis	2020	_RenPy
Common Hanzi Quiz - Simplified Chinese	2018	_RenPy
Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future	2021	_RenPy
Axiom Alternative II	2021	_RenPy
鬼畜大冒险 Gui Chu Da Mao Xian	2018	_RenPy
Unmoor	2018	_RenPy
Tales From The Under-Realm: Hazel	2021	_RenPy
Nijowari: Where Angels Fall	2019	_RenPy
PANIC at Multiverse High!	2016	_RenPy
Our Personal Space	2021	_RenPy
Heaven's Grave	2019	_RenPy
Roommates	2014	_RenPy
Vision of Aurora Borealis	2016	_RenPy
Cursed Lands	2018	_RenPy
Selenon Rising	2016	_RenPy
As We Know It	2019	_RenPy
Stars and Snowdrops	2020	_RenPy
VOID	2017	_RenPy
The Charm of Love	2020	_RenPy
Roomie Romance	2019	_RenPy
Onii-chan Asobo	2019	_RenPy
Sakura Magical Girls	2017	_RenPy
Celestial Crossing	2016	_RenPy
Sakura MMO Extra	2021	_RenPy
Welcome To... Chichester 2 : The Spy Of Chichester And The Eager Tourist Guide	2018	_RenPy
Bionic Heart	2014	_RenPy
The Seven Districts of Sin: The Tail Makes the Fox - Episode 1	2018	_RenPy
