game_name	relise_year	func_name
告死天使的审判-Death Angel Trial	2020	_RPGMaker
8-Bit Adventures 1: The Forgotten Journey Remastered Edition	2015	_RPGMaker
Amulet Zero 零物语 - Optimize	2018	_RPGMaker
Rose Garden at the World's End	2019	_RPGMaker
Tales of Nebezem: Elemental Link	2018	_RPGMaker
Max, an Autistic Journey	2016	_RPGMaker
Harvest Island: Demo	2020	_RPGMaker
Vidar	2017	_RPGMaker
Kill The Dragon	2021	_RPGMaker
Disgraced	2016	_RPGMaker
Wind Child	2016	_RPGMaker
The Perfectionist	2019	_RPGMaker
Close Your Eyes -Anniversary Remake-	2018	_RPGMaker
Verdungo	2020	_RPGMaker
Pax Romana: Romulus	2019	_RPGMaker
Finding Light	2018	_RPGMaker
Rebellion Gaia	2021	_RPGMaker
Sorbetta: Gravely in Debt	2020	_RPGMaker
迅风的米斯特汀 Windy Mystletainn	2021	_RPGMaker
Frigusİnferos	2019	_RPGMaker
RPG Maker MZ	2020	_RPGMaker
Paul's World	2019	_RPGMaker
The Angel Inn	2019	_RPGMaker
Labyrinthine Dreams	2014	_RPGMaker
Machina of the Planet Tree -Planet Ruler-	2015	_RPGMaker
Pale Echoes	2015	_RPGMaker
Crown Champion: Legends of the Arena	2016	_RPGMaker
Winds Rhapsody	2020	_RPGMaker
Restoration	2017	_RPGMaker
The Frosty Leaves 寒叶下的薄冰	2018	_RPGMaker
The Walsingham Files - Chapter 1	2019	_RPGMaker
Sasel RPG	2020	_RPGMaker
Glory by Example	2016	_RPGMaker
Order from Caos	2020	_RPGMaker
Fleshport	2021	_RPGMaker
Mossen Seikkailut	2020	_RPGMaker
Blade of Acrimony	2018	_RPGMaker
Protective Clothing	2020	_RPGMaker
Neckbeardia	2019	_RPGMaker
猜拳为尊	2021	_RPGMaker
A Dark Ice Saga: The Rescue	2020	_RPGMaker
Der einzig wahre Auserwählte	2017	_RPGMaker
Crimson Ranch	2020	_RPGMaker
Vairon's Wrath	2016	_RPGMaker
TITANKIN: Prologue	2021	_RPGMaker
Phantasmata	2019	_RPGMaker
Nobunaga's Shadow	2018	_RPGMaker
アルティメットダンジョン「紅」	2020	_RPGMaker
The Singularity Wish	2018	_RPGMaker
Nemesis - RPG	2021	_RPGMaker
A Conversation With Mister Rabbit	2021	_RPGMaker
四季 The Four Seasons	2019	_RPGMaker
Cursed Dungeon	2021	_RPGMaker
August of August	2020	_RPGMaker
Otome the Exorcist	2020	_RPGMaker
